service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2:1:CIST-552663-1-101,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-102,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-103,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-104,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-105,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-106,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-107,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-108,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-109,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-110,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-111,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-112,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-113,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-114,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-115,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-116,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-117,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-118,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-119,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-120,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-121,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-122,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-123,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-124,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-125,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-126,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-127,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-128,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-129,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-130,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-131,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-132,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-133,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-134,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-141,1,1,1,1,1,0,0,20230710,20231130
2:1:CIST-552663-1-142,1,1,1,1,1,0,0,20230710,20231130
2:2:CIST-582803-1-101,1,1,1,1,1,0,0,20221211,20231209
2:2:CIST-582803-1-102,1,1,1,1,1,0,0,20221211,20231209
2:2:CIST-582803-1-103,1,1,1,1,1,0,0,20221211,20231209
2:2:CIST-582803-1-104,1,1,1,1,1,0,0,20221211,20231209
2:2:CIST-582803-1-105,1,1,1,1,1,0,0,20221211,20231209
2:2:CIST-582803-1-106,1,1,1,1,1,0,0,20221211,20231209
2:2:CIST-582803-1-201,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-202,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-203,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-204,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-205,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-206,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-207,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-208,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-209,0,0,0,0,0,0,0,20221211,20231209
2:2:CIST-582803-1-210,1,1,1,1,1,1,1,20221224,20221231
2:2:CIST-582803-1-211,1,1,1,1,1,1,1,20221224,20221231
2:2:CIST-582803-1-212,1,1,1,1,1,1,1,20221224,20221231
2:2:CIST-582803-1-213,1,1,1,1,1,1,1,20221224,20221231
2:2:CIST-582803-1-214,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-215,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-216,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-217,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-218,0,0,0,0,0,1,1,20221211,20231209
2:2:CIST-582803-1-219,0,0,0,0,0,1,1,20221211,20231209
2:3:CIST-582495-1-101,1,1,1,1,1,0,0,20230401,20231209
2:3:CIST-582495-1-102,1,1,1,1,1,0,0,20230401,20231209
2:3:CIST-582495-1-104,1,1,1,1,1,0,0,20230401,20231209
2:3:CIST-582495-1-105,1,1,1,1,1,0,0,20230401,20231209
2:3:CIST-582495-1-107,1,1,1,1,1,0,0,20230401,20231209
2:3:CIST-582495-1-109,1,1,1,1,1,0,0,20230401,20231209
2:4:CIST-562732-1-101,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-102,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-103,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-104,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-105,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-106,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-107,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-108,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-109,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-110,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-111,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-112,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-113,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-114,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-115,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-116,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-117,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-118,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-119,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-120,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-121,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-122,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-123,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-124,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-125,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-126,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-127,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-128,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-129,1,1,1,1,1,0,0,20221211,20231209
2:4:CIST-562732-1-130,1,1,1,1,1,0,0,20221211,20231209
2:5:CIST-552682-1-101,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-102,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-103,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-104,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-105,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-106,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-107,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-108,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-109,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-110,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-111,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-112,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-113,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-114,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-115,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-116,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-117,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-118,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-119,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-120,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-121,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-122,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-123,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-124,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-125,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-126,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-127,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-128,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-129,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-130,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-131,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-132,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-133,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-135,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-137,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-139,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-141,1,1,1,1,1,0,0,20230731,20230903
2:5:CIST-552682-1-201,0,0,0,0,0,1,1,20230731,20230903
2:5:CIST-552682-1-202,0,0,0,0,0,1,1,20230731,20230903
2:5:CIST-552682-1-203,0,0,0,0,0,1,1,20230731,20230903
2:5:CIST-552682-1-204,0,0,0,0,0,1,1,20230731,20230903
2:6:CIST-001590-1-101,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-102,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-103,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-104,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-105,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-106,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-107,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-108,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-109,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-110,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-111,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-112,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-113,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-114,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-115,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-116,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-117,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-118,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-119,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-120,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-121,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-122,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-123,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-124,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-125,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-126,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-127,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-128,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-129,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-130,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-131,1,1,1,1,1,0,0,20230611,20231030
2:6:CIST-001590-1-132,1,1,1,1,1,0,0,20230611,20231030
