route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
-CISR-001401-1,2:1:JDFA-06231292-1,001401,Jiříkov-Ebersbach-Rumburk-Seifhennersdorf-Varnsdorf-Großschönau,,201,,,,
-CISR-001435-1,2:1:JDFA-06231292-1,001435,Česká Kamenice-Labská Stráň-Hřensko-Schmilka,,201,,,,
-CISR-001452-1,2:1:JDFA-06231292-1,001452,Úštěk-Verneřice-Ústí n.L.-Bahratal,,201,,,,
-CISR-001521-1,2:1:JDFA-06231292-1,001521,Litvínov-Brandov-Olbernhau,,201,,,,
-CISR-001585-1,2:6:JDFA-25332473-1,001585,Jirkov-Chomutov-Kurort Oberwiesenthal,,201,,,,
-CISR-001588-1,2:4:JDFA-09057846-1,001588,Chomutov-Hora Sv. Šebestiána-Marienberg,,201,,,,
-CISR-001590-1,2:6:JDFA-25332473-1,001590,Kadaň-Klášterec nad Ohří-Vejprty-Annaberg-Buchholz,,201,,,,
-CISR-512402-1,2:1:JDFA-06231292-1,512402,Varnsdorf-Chřibská-Česká Kamenice-Děčín,,701,,,,
-CISR-512403-1,2:1:JDFA-06231292-1,512403,"Varnsdorf-Dolní Podluží-Chřibská,Krásné Pole",,701,,,,
-CISR-512404-1,2:1:JDFA-06231292-1,512404,Rumburk-Staré Křečany-Krásná Lípa-Doubice,,701,,,,
-CISR-512406-1,2:1:JDFA-06231292-1,512406,Lobendava-Dolní Poustevna,,701,,,,
-CISR-512407-1,2:1:JDFA-06231292-1,512407,"Staré Křečany,Brtníky-Krásná Lípa-Varnsdorf",,701,,,,
-CISR-512408-1,2:1:JDFA-06231292-1,512408,"Mikulášovice-Velký Šenov-Šluknov,Rožany",,701,,,,
-CISR-512409-1,2:1:JDFA-06231292-1,512409,Chřibská-Rybniště-Krásná Lípa-Rumburk-D.Poustevna,,701,,,,
-CISR-512410-1,2:1:JDFA-06231292-1,512410,"Varnsdorf-Rumburk-Jiříkov-Šluknov-Velký Šenov-Lobendava,Severní",,701,,,,
-CISR-512421-1,2:1:JDFA-06231292-1,512421,Česká Kamenice-Srbská Kamenice,,701,,,,
-CISR-512422-1,2:1:JDFA-06231292-1,512422,Benešov n. Pl.-Markvartice-Kerhartice-Č. Kamenice-Kunratice,,701,,,,
-CISR-512423-1,2:1:JDFA-06231292-1,512423,Benešov n.Pl.-Žandov-Verneřice,,701,,,,
-CISR-512424-1,2:1:JDFA-06231292-1,512424,"Benešov n. Pl.-Heřmanov,Blankartice-Heřmanov,Fojtovice",,701,,,,
-CISR-512431-1,2:1:JDFA-06231292-1,512431,"Děčín-Malšovice,Javory-Malšovice,Borek",,701,,,,
-CISR-512433-1,2:1:JDFA-06231292-1,512433,"Děčín-Jílové,Sněžník",,701,,,,
-CISR-512434-1,2:1:JDFA-06231292-1,512434,"Děčín-Hřensko,Mezná-Jetřichovice-Chřibská-Krásná Lípa",,701,,,,
-CISR-512436-1,2:1:JDFA-06231292-1,512436,"Děčín-Dobrná-Huntířov-Srbská Kamenice-Jetřichovice,Vysoká Lípa",,701,,,,
-CISR-512437-1,2:1:JDFA-06231292-1,512437,Děčín-Benešov n. Pl.-Verneřice-Rychnov,,701,,,,
-CISR-512438-1,2:1:JDFA-06231292-1,512438,"Děčín-Hřensko,Mezná",,701,,,,
-CISR-512441-1,2:1:JDFA-06231292-1,512441,"Janov-Hřensko-Hřensko,Mezná",,701,,,,
-CISR-516191-1,2:1:JDFA-06231292-1,516191,MHD Varnsdorf: Nemocnice - Kaufland,,704,,,,
-CISR-522560-1,2:4:JDFA-09057846-1,522560,"Chomutov-Blatno-Kalek,Načetín",,701,,,,
-CISR-522561-1,2:4:JDFA-09057846-1,522561,Chomutov-Jirkov-Boleboř-Hora Svaté Kateřiny,,701,,,,
-CISR-522564-1,2:4:JDFA-09057846-1,522564,"Chomutov-Jirkov-Litvínov,Janov",,701,,,,
-CISR-522565-1,2:4:JDFA-09057846-1,522565,Bitozeves-Chomutov-Jirkov-Most,,701,,,,
-CISR-522568-1,2:4:JDFA-09057846-1,522568,Chomutov-Strupčice-Jirkov,,701,,,,
-CISR-522569-1,2:4:JDFA-09057846-1,522569,Chomutov-Údlice-Velemyšleves,,701,,,,
-CISR-522570-1,2:4:JDFA-09057846-1,522570,"Chomutov-Bitozeves,,Triangle-východ",,701,,,,
-CISR-522571-1,2:4:JDFA-09057846-1,522571,Jirkov-Chomutov-Březno-Radonice,,701,,,,
-CISR-522578-1,2:4:JDFA-09057846-1,522578,Chomutov-Kadaň-Podbořany,,701,,,,
-CISR-522580-1,2:6:JDFA-25332473-1,522580,Chomutov-Klášterec nad Ohří,,701,,,,
-CISR-522582-1,2:6:JDFA-25332473-1,522582,Vejprty-Kovářská-Boží Dar,,202,,,,
-CISR-522586-1,2:6:JDFA-25332473-1,522586,Chomutov-Výsluní-Vejprty,,701,,,,
-CISR-522587-1,2:6:JDFA-25332473-1,522587,Chomutov-Místo-Vejprty,,701,,,,
-CISR-522591-1,2:6:JDFA-25332473-1,522591,"Kadaň,Tušimice-Klášterec nad Ohří-Okounov",,701,,,,
-CISR-522593-1,2:6:JDFA-25332473-1,522593,"Kadaň-Klášterec nad Ohří-Domašín,Petlery",,701,,,,
-CISR-522598-1,2:4:JDFA-09057846-1,522598,Kadaň-Radonice-Veliká Ves-Podbořany,,701,,,,
-CISR-522599-1,2:4:JDFA-09057846-1,522599,Kadaň-Podbořany,,701,,,,
