stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:1:JDFS-9,,Chotiměř,,,,744,,0,,Europe/Prague,0,
2:1:JDFS-8,,"Velemín,Hrušovka,rozc.",,,,744,,0,,Europe/Prague,0,
2:1:JDFS-7,,"Velemín,Dobkovičky",,,,741,,0,,Europe/Prague,0,
2:1:JDFS-6,,"Velemín,Březno",,,,742,,0,,Europe/Prague,0,
2:1:JDFS-5,,Bořislav,,,,453,,0,,Europe/Prague,0,
2:1:JDFS-4,,"Velemín,Boreč",,,,742,,0,,Europe/Prague,0,
2:1:JDFS-3,,"Velemín,Bílý Újezd",,,,741,,0,,Europe/Prague,0,
2:1:JDFS-27,,"Velemín,Milešovská",,,,741,,0,,Europe/Prague,0,
2:1:JDFS-26,,"Lovosice,Průmyslová",,,,701,,0,,Europe/Prague,0,
2:1:JDFS-25,,Žalany,,,,452,,0,,Europe/Prague,0,
2:1:JDFS-24,,"Vchynice,škola",,,,743,,0,,Europe/Prague,0,
2:1:JDFS-23,,"Vchynice,rozc.",,50.515715,14.025049,743,,0,,Europe/Prague,0,
2:1:JDFS-22,,Vchynice,,50.510233,14.018117,743,,0,,Europe/Prague,0,
2:1:JDFS-21,,"Velemín,škola",,,,741,,0,,Europe/Prague,0,
2:1:JDFS-20,,"Velemín,Milešov,Mlýnce rozc.0.5",,,,745,,0,,Europe/Prague,0,
2:1:JDFS-2,,"Velemín,Bílinka,rozc.0.5",,,,742,,0,,Europe/Prague,0,
2:1:JDFS-19,,Velemín,,,,741,,0,,Europe/Prague,0,
2:1:JDFS-18,,"Třebenice,Sutom",,,,742,,0,,Europe/Prague,0,
2:1:JDFS-17,,"Velemín,Režný Újezd",,,,742,,0,,Europe/Prague,0,
2:1:JDFS-16,,"Velemín,Opárno",,,,742,,0,,Europe/Prague,0,
2:1:JDFS-15,,"Velemín,Milešov",,,,745,,0,,Europe/Prague,0,
2:1:JDFS-14,,"Lovosice,záv.1",,,,701,,0,,Europe/Prague,0,
2:1:JDFS-13,,"Lovosice,radnice",,50.51589,14.049458,701,,0,,Europe/Prague,0,
2:1:JDFS-12,,"Lovosice,kostel",,50.5134773,14.0540428,701,,0,,Europe/Prague,0,
2:1:JDFS-11,,"Lovosice,aut.nádr.",,,,701,,0,,Europe/Prague,0,
2:1:JDFS-10,,"Chotiměř,školka",,,,744,,0,,Europe/Prague,0,
2:1:JDFS-1,,"Velemín,Bílinka",,,,742,,0,,Europe/Prague,0,
2:2:JDFS-9,,"Osek,Kolonie",,50.622408,13.70433,443,,0,,Europe/Prague,0,
2:2:JDFS-8,,Lahošť,,,,491,,0,,Europe/Prague,0,
2:2:JDFS-7,,"Háj u Duchcova,Dolní Háj žel.zast.",,,,448,,0,,Europe/Prague,0,
2:2:JDFS-6,,"Háj u Duchcova,Dolní Háj rozc.",,,,448,,0,,Europe/Prague,0,
2:2:JDFS-5,,"Duchcov,žel.st.",,,,411,,0,,Europe/Prague,0,
2:2:JDFS-4,,"Duchcov,Teplická",,50.606743,13.747672,411,,0,,Europe/Prague,0,
2:2:JDFS-3,,"Duchcov,Osecká",,50.607017,13.74576,411,,0,,Europe/Prague,0,
2:2:JDFS-25,,"Osek,sídliště",,,,443,,0,,Europe/Prague,0,
2:2:JDFS-24,,"Teplice,Řetenice,V Břízkách",,,,401,,0,,Europe/Prague,0,
2:2:JDFS-23,,"Teplice,Mariánský dvůr",,,,401,,0,,Europe/Prague,1,
2:2:JDFS-22,,"Teplice,Hudcov,Výšina",,,,401,,0,,Europe/Prague,0,
2:2:JDFS-21,,"Teplice,Hudcov,Panorama",,50.637093,13.791199,401,,0,,Europe/Prague,0,
2:2:JDFS-20,,"Teplice,Hotel de Saxe",,50.64388,13.829945,401,,0,,Europe/Prague,1,
2:2:JDFS-2,,"Duchcov,nem.",,50.610556,13.741451,411,,0,,Europe/Prague,0,
2:2:JDFS-19,,"Teplice,Hlavní nádraží",,,,401,,0,,Europe/Prague,1,
2:2:JDFS-18,,"Teplice,Benešovo náměstí",,,,401,,0,,Europe/Prague,1,
2:2:JDFS-17,,"Teplice,Alejní",,50.6394,13.822265,401,,0,,Europe/Prague,1,
2:2:JDFS-16,,"Osek,Zbrojnice",,50.622811,13.696959,443,,0,,Europe/Prague,0,
2:2:JDFS-15,,"Teplice,Řetenice,sídliště",,,,401,,0,,Europe/Prague,1,
2:2:JDFS-14,,"Teplice,Řetenice,Perla",,,,401,,0,,Europe/Prague,0,
2:2:JDFS-13,,"Teplice,Zámecká zahrada",,,,401,,0,,Europe/Prague,1,
2:2:JDFS-12,,"Teplice,nem.",,50.637066,13.811264,401,,0,,Europe/Prague,1,
2:2:JDFS-11,,"Osek,Národní dům",,,,443,,0,,Europe/Prague,0,
2:2:JDFS-10,,"Osek,nám.",,,,443,,0,,Europe/Prague,0,
2:2:JDFS-1,,"Duchcov,koupaliště",,,,411,,0,,Europe/Prague,0,
2:3:JDFS-9,,"Háj u Duchcova,Horní Háj",,,,442,,0,,Europe/Prague,0,
2:3:JDFS-6,,"Háj u Duchcova,Dolní Háj",,,,448,,0,,Europe/Prague,0,
2:3:JDFS-23,,"Teplice,Libušina",,,,401,,0,,Europe/Prague,0,
2:3:JDFS-22,,"Teplice,Křižíkova",,,,401,,0,,Europe/Prague,0,
2:3:JDFS-21,,"Teplice,Jateční",,,,401,,0,,Europe/Prague,0,
2:3:JDFS-17,,"Háj u Duchcova,ObÚ",,,,448,,0,,Europe/Prague,0,
2:3:JDFS-14,,"Osek,Tyršova",,,,443,,0,,Europe/Prague,0,
2:4:JDFS-9,,Přečaply,,,,501,,0,,Europe/Prague,0,
2:4:JDFS-8,,"Nezabylice,Na seníku",,,,582,,0,,Europe/Prague,0,
2:4:JDFS-7,,Lažany,,,,584,,0,,Europe/Prague,0,
2:4:JDFS-6,,"Chomutov,u pekárny",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-5,,"Chomutov,Důl J.Žižky",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-4,,"Chomutov,aut.nádr.",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-3,,"Hrušovany,Na jezerech",,,,584,,0,,Europe/Prague,0,
2:4:JDFS-28,,"Údlice,zahrádky",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-27,,"Chomutov,Dukelská II",,50.455093,13.431181,501,,0,,Europe/Prague,0,
2:4:JDFS-26,,"Chomutov,Dukelská I",,50.457537,13.425682,501,,0,,Europe/Prague,0,
2:4:JDFS-25,,"Údlice,čistička",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-24,,"Údlice,pila",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-23,,"Údlice,učiliště",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-22,,"Žiželice,Hořetice,točna",,,,911,,0,,Europe/Prague,0,
2:4:JDFS-21,,"Žatec,Koito",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-20,,"Žatec,Velichov",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-2,,Hrušovany,,,,584,,0,,Europe/Prague,0,
2:4:JDFS-19,,"Chomutov,žel.st.",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-18,,"Chomutov,Palackého",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-17,,Žiželice,,,,911,,0,,Europe/Prague,0,
2:4:JDFS-16,,"Žatec,žel.st.",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-15,,"Žatec,Prefa",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-14,,"Žatec,u plynárny",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-13,,"Žatec,Mostecká",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-12,,"Žatec,aut.nádr.",,,,901,,0,,Europe/Prague,0,
2:4:JDFS-11,,"Údlice,nám.",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-10,,"Přečaply,starý cukrovar",,,,501,,0,,Europe/Prague,0,
2:4:JDFS-1,,"Žiželice,Hořetice,žel.přejezd",,,,911,,0,,Europe/Prague,0,
2:5:JDFS-9,,"Snědovice,Křešov",,,,652,,0,,Europe/Prague,0,
2:5:JDFS-8,,"Záluží,Kozlovice,rozc.",,,,684,,0,,Europe/Prague,0,
2:5:JDFS-7,,"Štětí,Hněvice,předmostí",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-6,,"Štětí,Hněvice,Benzina rozc.",,,,682,,0,,Europe/Prague,0,
2:5:JDFS-5,,"Dušníky,čerp.st.",,,,773,,0,,Europe/Prague,0,
2:5:JDFS-42,,"Štětí,Boženy Němcové",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-41,,"Račice,Labe aréna",,,,657,,0,,Europe/Prague,0,
2:5:JDFS-40,,"Roudnice n.L.,Na Kolečku",,50.425053,14.237574,661,,0,,Europe/Prague,0,
2:5:JDFS-4,,Dušníky,,,,773,,0,,Europe/Prague,0,
2:5:JDFS-39,,"Štětí,centrum",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-38,,"Bechlín,Předonín,košíkárna",,,,682,,0,,Europe/Prague,0,
2:5:JDFS-37,,Dobříň,,,,681,,0,,Europe/Prague,0,
2:5:JDFS-36,,"Tuhaň,Pavličky,rozc.Zátyní",,,,632,,0,,Europe/Prague,0,
2:5:JDFS-35,,Záluží,,,,684,,0,,Europe/Prague,0,
2:5:JDFS-34,,"Snědovice,Velký Hubenov",,,,634,,0,,Europe/Prague,0,
2:5:JDFS-33,,"Snědovice,Střížovice,rozc.",,,,634,,0,,Europe/Prague,0,
2:5:JDFS-32,,Tuhaň,,,,632,,0,,Europe/Prague,0,
2:5:JDFS-31,,"Štětí,žel.přejezd",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-30,,"Štětí,záv.",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-3,,"Tuhaň,rozcestí Mošnice",,,,632,,0,,Europe/Prague,0,
2:5:JDFS-29,,"Štětí,prádelna",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-28,,"Štětí,Cihelná",,,,651,,0,,Europe/Prague,0,
2:5:JDFS-27,,"Snědovice,Sukorady",,,,634,,0,,Europe/Prague,0,
2:5:JDFS-26,,"Snědovice,Střížovice",,,,652,,0,,Europe/Prague,0,
2:5:JDFS-25,,Snědovice,,,,652,,0,,Europe/Prague,0,
2:5:JDFS-24,,"Roudnice n.L.,žel.st.",,,,661,,0,,Europe/Prague,0,
2:5:JDFS-23,,"Roudnice n.L.,nemocnice",,50.423585,14.247683,661,,0,,Europe/Prague,0,
2:5:JDFS-22,,"Roudnice n.L.,sídliště",,,,661,,0,,Europe/Prague,0,
2:5:JDFS-21,,"Roudnice n.L.,Riegrova",,50.423201,14.260926,661,,0,,Europe/Prague,0,
2:5:JDFS-20,,"Roudnice n.L.,Masný průmysl",,,,661,,0,,Europe/Prague,0,
2:5:JDFS-2,,"Dubá,aut.nádr.",,,,633,,0,,Europe/Prague,0,
2:5:JDFS-19,,"Roudnice n.L.,Purkyňovo nám.",,,,661,,0,,Europe/Prague,0,
2:5:JDFS-18,,"Roudnice n.L.,Chelčického",,,,661,,0,,Europe/Prague,0,
2:5:JDFS-17,,"Roudnice n.L.,Bezděkov škola",,,,661,,0,,Europe/Prague,0,
2:5:JDFS-16,,"Roudnice n.L.,aut.nádr.",,,,"661,661",,0,,Europe/Prague,0,
2:5:JDFS-15,,"Štětí,Radouň",,,,653,,0,,Europe/Prague,0,
2:5:JDFS-14,,Račice,,,,"657,657",,0,,Europe/Prague,0,
2:5:JDFS-13,,"Bechlín,Předonín",,,,682,,0,,Europe/Prague,0,
2:5:JDFS-12,,"Roudnice n.L.,Podlusky,9.května",,50.421001,14.226446,661,,0,,Europe/Prague,0,
2:5:JDFS-11,,"Roudnice n.L.,Podlusky,Zahradní",,50.423748,14.2312,661,,0,,Europe/Prague,0,
2:5:JDFS-10,,"Tuhaň,Pavličky",,,,632,,0,,Europe/Prague,0,
2:5:JDFS-1,,"Dobříň,rozc.",,,,681,,0,,Europe/Prague,0,
2:6:JDFS-9,,"Klášterec n.Ohří,stadion",,,,541,,0,,Europe/Prague,0,
2:6:JDFS-8,,"Klášterec n.Ohří,aut.nádr.",,,,541,,0,,Europe/Prague,0,
2:6:JDFS-7,,"Klášterec n.Ohří,porcelánka",,,,541,,0,,Europe/Prague,0,
2:6:JDFS-6,,"Kadaň,koupaliště",,,,531,,0,,Europe/Prague,0,
2:6:JDFS-5,,"Kadaň,Jungmanova",,50.3779,13.266367,531,,0,,Europe/Prague,0,
2:6:JDFS-4,,"Kadaň,aut.nádr.",,,,531,,0,,Europe/Prague,0,
2:6:JDFS-31,,"Cunersdorf,Gh Morgensonne",,50.550085,13.017874,277,,0,,Europe/Prague,0,
2:6:JDFS-30,,"Vejprty,CLO",,,,x,,0,,Europe/Prague,0,
2:6:JDFS-3,,Horní Halže,,,,553,,0,,Europe/Prague,0,
2:6:JDFS-29,,"Bärenstein,Kühlberg,B 95",,,,273,,0,,Europe/Prague,0,
2:6:JDFS-28,,"Bärenstein,Ortseingang",,,,273,,0,,Europe/Prague,0,
2:6:JDFS-27,,"Bärenstein,Turnhalle",,,,273,,0,,Europe/Prague,0,
2:6:JDFS-26,,"Bärenstein,ZOLL",,,,x,,0,,Europe/Prague,0,
2:6:JDFS-25,,"Annaberg-Buchholz,RVE",,50.584404,13.0127106,279,,0,,Europe/Prague,0,
2:6:JDFS-24,,"Klášterec n.Ohří,žel.st.",,,,541,,0,,Europe/Prague,0,
2:6:JDFS-23,,"Annaberg-Buchholz,Busbahnhof",,50.58378,13.0091257,279,,0,,Europe/Prague,0,
2:6:JDFS-22,,"Vejprty,Nové Zvolání,KOVO",,,,551,,0,,Europe/Prague,0,
2:6:JDFS-21,,"Vejprty,Nové Zvolání",,,,551,,0,,Europe/Prague,0,
2:6:JDFS-20,,"Vejprty,předměstí",,,,551,,0,,Europe/Prague,0,
2:6:JDFS-2,,"Loučná,České Hamry,Výsada",,,,555,,0,,Europe/Prague,0,
2:6:JDFS-19,,"Vejprty,aut.st.",,50.491787,13.0319223,551,,0,,Europe/Prague,0,
